sex,los_c2,los_m,n,sex_f,prcnt
1,"[  21,  28)",26,288,Male,0.009752793769048425
1,"[  49,  56)",54,198,Male,0.0067050457162207925
1,"[  98, 105)",104,227,Male,0.007687097866576363
1,"[ 140, 147)",142,236,Male,0.007991872671859126
1,"[ 161, 168)",167,241,Male,0.008161192008127328
1,"[ 189, 196)",195,202,Male,0.006840501185235354
1,"[ 217, 224)",223,221,Male,0.0074839146630545205
1,"[ 252, 259)",258,198,Male,0.0067050457162207925
1,"[ 280, 287)",286,224,Male,0.007585506264815442
1,"[ 308, 315)",310,264,Male,0.008940060954961056
1,"[ 329, 336)",334,150,Male,0.005079580088046055
1,"[ 350, 357)",356,191,Male,0.00646799864544531
1,"[ 399, 406)",405,213,Male,0.007213003725025398
1,"[ 434, 441)",439,160,Male,0.005418218760582459
1,"[ 462, 469)",464,208,Male,0.007043684388757196
1,"[ 497, 504)",503,147,Male,0.004977988486285134
1,"[ 518, 525)",521,130,Male,0.0044023027429732475
1,"[ 553, 560)",556,181,Male,0.006129359972908906
1,"[ 588, 595)",594,152,Male,0.005147307822553336
1,"[ 616, 623)",622,162,Male,0.005485946495089739
1,"[ 644, 651)",650,162,Male,0.005485946495089739
1,"[ 672, 679)",676,170,Male,0.005756857433118863
1,"[ 707, 714)",710,106,Male,0.0035895699288858787
1,"[ 735, 742)",741,146,Male,0.004944124619031493
1,"[ 770, 777)",776,109,Male,0.0036911615306468
1,"[ 798, 805)",804,90,Male,0.0030477480528276328
1,"[ 826, 833)",831,112,Male,0.003792753132407721
1,"[ 847, 854)",853,80,Male,0.0027091093802912294
1,"[ 889, 896)",895,98,Male,0.003318658990856756
1,"[ 917, 924)",923,103,Male,0.003487978327124958
1,"[ 952, 959)",957,80,Male,0.0027091093802912294
1,"[ 973, 980)",978,103,Male,0.003487978327124958
1,"[1015,1022)",1021,87,Male,0.002946156451066712
1,"[1043,1050)",1049,76,Male,0.002573653911276668
1,"[1071,1078)",1075,55,Male,0.0018625126989502202
1,"[1099,1106)",1104,86,Male,0.0029122925838130716
1,"[1134,1141)",1140,59,Male,0.0019979681679647815
1,"[1162,1169)",1168,54,Male,0.0018286488316965797
1,"[1190,1197)",1196,78,Male,0.0026413816457839484
1,"[1225,1232)",1230,59,Male,0.0019979681679647815
1,"[1260,1267)",1261,61,Male,0.002065695902472062
1,"[1288,1295)",1291,68,Male,0.002302742973247545
1,"[1316,1323)",1322,129,Male,0.004368438875719608
1,"[1379,1386)",1383,48,Male,0.0016254656281747375
1,"[1407,1414)",1411,68,Male,0.002302742973247545
1,1442,1442,67,Male,0.0022688791059939043
1,"[1470,1477)",1473,105,Male,0.0035557060616322384
1,"[1533,1540)",1534,50,Male,0.0016931933626820183
1,"[1561,1568)",1564,48,Male,0.0016254656281747375
1,"[1589,1596)",1595,38,Male,0.001286826955638334
1,"[1624,1631)",1626,54,Male,0.0018286488316965797
1,"[1652,1659)",1656,45,Male,0.0015238740264138164
1,1687,1687,38,Male,0.001286826955638334
1,"[1715,1722)",1717,43,Male,0.0014561462919065358
1,"[1743,1750)",1748,40,Male,0.0013545546901456147
1,"[1771,1778)",1777,25,Male,8.465966813410091e-4
1,"[1806,1813)",1808,36,Male,0.001219099221131053
1,"[1834,1841)",1839,26,Male,8.804605485946495e-4
1,1869,1869,19,Male,6.43413477819167e-4
1,"[1897,1904)",1900,32,Male,0.0010836437521164917
1,"[1925,1932)",1930,29,Male,9.820521503555706e-4
1,"[1960,1967)",1961,18,Male,6.095496105655266e-4
1,"[1988,1995)",1992,25,Male,8.465966813410091e-4
1,"[2016,2023)",2022,26,Male,8.804605485946495e-4
1,"[2051,2058)",2053,29,Male,9.820521503555706e-4
1,"[2079,2086)",2083,31,Male,0.0010497798848628514
1,2114,2114,36,Male,0.001219099221131053
1,2142,2142,25,Male,8.465966813410091e-4
1,"[2170,2177)",2173,18,Male,6.095496105655266e-4
1,"[2198,2205)",2204,14,Male,4.740941415509651e-4
1,"[2233,2240)",2234,20,Male,6.772773450728074e-4
1,"[2261,2268)",2265,25,Male,8.465966813410091e-4
1,"[2289,2296)",2295,17,Male,5.756857433118863e-4
1,"[2324,2331)",2326,20,Male,6.772773450728074e-4
1,"[2352,2359)",2357,28,Male,9.481882831019302e-4
1,2387,2387,25,Male,8.465966813410091e-4
1,"[2415,2422)",2418,16,Male,5.418218760582459e-4
1,"[2443,2450)",2448,19,Male,6.43413477819167e-4
1,"[2478,2485)",2479,23,Male,7.788689468337284e-4
1,"[2506,2513)",2507,60,Male,0.002031832035218422
1,"[2534,2541)",2538,1,Male,3.3863867253640366e-5
1,2569,2569,16,Male,5.418218760582459e-4
1,"[2597,2604)",2599,10,Male,3.386386725364037e-4
1,"[2625,2632)",2630,31,Male,0.0010497798848628514
1,2660,2660,13,Male,4.4023027429732477e-4
1,"[2688,2695)",2691,4,Male,1.3545546901456146e-4
1,"[2716,2723)",2722,29,Male,9.820521503555706e-4
1,"[2751,2758)",2752,18,Male,6.095496105655266e-4
1,"[2779,2786)",2783,8,Male,2.7091093802912293e-4
1,"[2807,2814)",2813,17,Male,5.756857433118863e-4
1,"[2842,2849)",2844,34,Male,0.0011513714866237725
1,"[2870,2877)",2872,2,Male,6.772773450728073e-5
1,"[2898,2905)",2903,11,Male,3.72502539790044e-4
1,"[2933,2940)",2934,23,Male,7.788689468337284e-4
1,"[2961,2968)",2964,31,Male,0.0010497798848628514
1,"[3024,3031)",3025,9,Male,3.047748052827633e-4
1,"[3052,3059)",3056,9,Male,3.047748052827633e-4
1,3087,3087,14,Male,4.740941415509651e-4
1,"[3115,3122)",3117,25,Male,8.465966813410091e-4
1,"[3143,3150)",3148,32,Male,0.0010836437521164917
1,3178,3178,4,Male,1.3545546901456146e-4
1,"[3234,3241)",3238,9,Male,3.047748052827633e-4
1,3269,3269,19,Male,6.43413477819167e-4
1,"[3297,3304)",3300,8,Male,2.7091093802912293e-4
1,"[3325,3332)",3330,6,Male,2.0318320352184218e-4
1,"[3360,3367)",3361,20,Male,6.772773450728074e-4
1,"[3388,3395)",3391,13,Male,4.4023027429732477e-4
1,"[3416,3423)",3422,2,Male,6.772773450728073e-5
1,"[3451,3458)",3453,26,Male,8.804605485946495e-4
1,"[3479,3486)",3483,14,Male,4.740941415509651e-4
1,"[3507,3514]",3514,558,Male,0.018896037927531324
2,"[  21,  28)",26,686,Female,0.02323061293599729
2,"[  49,  56)",54,449,Female,0.015204876396884524
2,"[  98, 105)",104,470,Female,0.01591601760921097
2,"[ 140, 147)",142,536,Female,0.018151032847951235
2,"[ 161, 168)",167,490,Female,0.01659329495428378
2,"[ 189, 196)",195,454,Female,0.015374195733152726
2,"[ 217, 224)",223,507,Female,0.017168980697595666
2,"[ 252, 259)",258,430,Female,0.014561462919065358
2,"[ 280, 287)",286,523,Female,0.01771080257365391
2,"[ 308, 315)",310,596,Female,0.020182864883169657
2,"[ 329, 336)",334,368,Female,0.012461903149339655
2,"[ 350, 357)",356,421,Female,0.014256688113782594
2,"[ 399, 406)",405,442,Female,0.014967829326109041
2,"[ 434, 441)",439,305,Female,0.010328479512360312
2,"[ 462, 469)",464,440,Female,0.014900101591601761
2,"[ 497, 504)",503,347,Female,0.011750761937013207
2,"[ 518, 525)",521,293,Female,0.009922113105316627
2,"[ 553, 560)",556,428,Female,0.014493735184558076
2,"[ 588, 595)",594,388,Female,0.013139180494412463
2,"[ 616, 623)",622,380,Female,0.012868269556383339
2,"[ 644, 651)",650,377,Female,0.012766677954622418
2,"[ 672, 679)",676,513,Female,0.017372163901117506
2,"[ 707, 714)",710,250,Female,0.008465966813410091
2,"[ 735, 742)",741,321,Female,0.010870301388418557
2,"[ 770, 777)",776,247,Female,0.00836437521164917
2,"[ 798, 805)",804,238,Female,0.008059600406366408
2,"[ 826, 833)",831,287,Female,0.009718929901794786
2,"[ 847, 854)",853,212,Female,0.0071791398577717574
2,"[ 889, 896)",895,206,Female,0.006975956654249916
2,"[ 917, 924)",923,293,Female,0.009922113105316627
2,"[ 952, 959)",957,282,Female,0.009549610565526584
2,"[ 973, 980)",978,308,Female,0.010430071114121232
2,"[1015,1022)",1021,239,Female,0.008093464273620047
2,"[1043,1050)",1049,209,Female,0.007077548256010836
2,"[1071,1078)",1075,181,Female,0.006129359972908906
2,"[1099,1106)",1104,247,Female,0.00836437521164917
2,"[1134,1141)",1140,176,Female,0.005960040636640704
2,"[1162,1169)",1168,187,Female,0.006332543176430748
2,"[1190,1197)",1196,233,Female,0.007890281070098206
2,"[1225,1232)",1230,145,Female,0.004910260751777853
2,"[1260,1267)",1261,177,Female,0.005993904503894345
2,"[1288,1295)",1291,165,Female,0.005587538096850661
2,"[1316,1323)",1322,431,Female,0.014595326786318998
2,"[1379,1386)",1383,197,Female,0.006671181848967152
2,"[1407,1414)",1411,184,Female,0.0062309515746698275
2,1442,1442,142,Female,0.004808669150016932
2,"[1470,1477)",1473,257,Female,0.008703013884185574
2,"[1533,1540)",1534,155,Female,0.005248899424314257
2,"[1561,1568)",1564,165,Female,0.005587538096850661
2,"[1589,1596)",1595,97,Female,0.0032847951236031157
2,"[1624,1631)",1626,164,Female,0.00555367422959702
2,"[1652,1659)",1656,76,Female,0.002573653911276668
2,1687,1687,94,Female,0.0031832035218421944
2,"[1715,1722)",1717,144,Female,0.004876396884524212
2,"[1743,1750)",1748,155,Female,0.005248899424314257
2,"[1771,1778)",1777,107,Female,0.003623433796139519
2,"[1806,1813)",1808,153,Female,0.005181171689806976
2,"[1834,1841)",1839,86,Female,0.0029122925838130716
2,1869,1869,89,Female,0.0030138841855739925
2,"[1897,1904)",1900,101,Female,0.003420250592617677
2,"[1925,1932)",1930,61,Female,0.002065695902472062
2,"[1960,1967)",1961,79,Female,0.0026752455130375887
2,"[1988,1995)",1992,92,Female,0.0031154757873349138
2,"[2016,2023)",2022,119,Female,0.004029800203183204
2,"[2051,2058)",2053,98,Female,0.003318658990856756
2,"[2079,2086)",2083,76,Female,0.002573653911276668
2,2114,2114,98,Female,0.003318658990856756
2,2142,2142,100,Female,0.0033863867253640365
2,"[2170,2177)",2173,70,Female,0.0023704707077548256
2,"[2198,2205)",2204,58,Female,0.0019641043007111413
2,"[2233,2240)",2234,67,Female,0.0022688791059939043
2,"[2261,2268)",2265,86,Female,0.0029122925838130716
2,"[2289,2296)",2295,53,Female,0.0017947849644429394
2,"[2324,2331)",2326,47,Female,0.0015916017609210972
2,"[2352,2359)",2357,114,Female,0.0038604808669150015
2,2387,2387,62,Female,0.002099559769725703
2,"[2415,2422)",2418,45,Female,0.0015238740264138164
2,"[2443,2450)",2448,62,Female,0.002099559769725703
2,"[2478,2485)",2479,70,Female,0.0023704707077548256
2,"[2506,2513)",2507,120,Female,0.004063664070436844
2,"[2534,2541)",2538,9,Female,3.047748052827633e-4
2,2569,2569,42,Female,0.0014222824246528953
2,"[2597,2604)",2599,38,Female,0.001286826955638334
2,"[2625,2632)",2630,49,Female,0.001659329495428378
2,2660,2660,39,Female,0.0013206908228919742
2,"[2688,2695)",2691,40,Female,0.0013545546901456147
2,"[2716,2723)",2722,70,Female,0.0023704707077548256
2,"[2751,2758)",2752,32,Female,0.0010836437521164917
2,"[2779,2786)",2783,41,Female,0.001388418557399255
2,"[2807,2814)",2813,51,Female,0.0017270572299356586
2,"[2842,2849)",2844,93,Female,0.003149339654588554
2,"[2870,2877)",2872,4,Female,1.3545546901456146e-4
2,"[2898,2905)",2903,27,Female,9.143244158482898e-4
2,"[2933,2940)",2934,52,Female,0.001760921097189299
2,"[2961,2968)",2964,77,Female,0.002607517778530308
2,"[3024,3031)",3025,35,Female,0.0011852353538774128
2,"[3052,3059)",3056,29,Female,9.820521503555706e-4
2,3087,3087,56,Female,0.0018963765662038605
2,"[3115,3122)",3117,48,Female,0.0016254656281747375
2,"[3143,3150)",3148,90,Female,0.0030477480528276328
2,3178,3178,20,Female,6.772773450728074e-4
2,"[3234,3241)",3238,21,Female,7.111412123264476e-4
2,3269,3269,45,Female,0.0015238740264138164
2,"[3297,3304)",3300,28,Female,9.481882831019302e-4
2,"[3325,3332)",3330,17,Female,5.756857433118863e-4
2,"[3360,3367)",3361,36,Female,0.001219099221131053
2,"[3388,3395)",3391,16,Female,5.418218760582459e-4
2,"[3416,3423)",3422,18,Female,6.095496105655266e-4
2,"[3451,3458)",3453,46,Female,0.0015577378936674569
2,"[3479,3486)",3483,31,Female,0.0010497798848628514
2,"[3507,3514]",3514,1044,Female,0.03535387741280054
